IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.7.246,2082,2082,false,SIN,Asia Pacific,Singapore,55,4.18
47.245.41.84,2095,2095,false,NRT,Asia Pacific,Tokyo,73,4.18
47.236.83.196,80,80,false,SIN,Asia Pacific,Singapore,19,4.17
8.219.51.211,443,443,true,SIN,Asia Pacific,Singapore,74,4.17
47.242.59.216,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,4.17
8.219.92.89,2082,2082,false,SIN,Asia Pacific,Singapore,7,4.17
47.245.33.158,2086,2086,false,NRT,Asia Pacific,Tokyo,88,4.17
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,13,4.17
8.209.200.73,8880,8880,false,NRT,Asia Pacific,Tokyo,85,4.17
8.219.74.35,2095,2095,false,SIN,Asia Pacific,Singapore,15,4.17
8.219.156.148,2053,2053,true,SIN,Asia Pacific,Singapore,56,4.17
8.218.146.204,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,4.17
47.245.113.12,80,80,false,SIN,Asia Pacific,Singapore,6,4.16
8.218.181.189,2082,2082,false,HKG,Asia Pacific,Hong Kong,37,4.16
47.245.33.163,8880,8880,false,NRT,Asia Pacific,Tokyo,77,4.16
47.236.148.174,2086,2086,false,SIN,Asia Pacific,Singapore,14,4.16
47.74.37.50,2087,2087,true,NRT,Asia Pacific,Tokyo,150,4.16
